query;impressions;clicks;ctr;position
"glm 5 как агент в редакторе кода";2;0;0;1
"ai ide";2;2;100;1
"есть ли лимиты в chatgpt codex для вс код";2;1;50;1.5
"чат гпт кодер codex какие лимиты?";2;1;50;1.5
"chatgpt codex free limits";2;0;0;1.5
"как использовать нейросеть glm 5";2;0;0;1.5
"gml 5 абр";2;0;0;1.5
"glm-5 запустить на прямую в гитхабе через свой акк";12;0;0;1.9
"достигнут лимит использования codex";3;0;0;2
"интеграцию инструментов больших языковых моделей для обнаружения дезинформации в реальном времени, создание специализированных финансовых фактчекинговых платформ и повышение уровня финансовой грамотности населения .";2;1;50;2
"ограничения codex на deploy на хостинге";2;1;50;2
"codex pro limits";2;2;100;2
"как посмотреть лимит codex";2;1;50;2
"какой лимит запросов в codex в подписке бизнес";2;0;0;2
"инференса llm цена";2;0;0;2
"glm 5 opencode";2;1;50;2
"codex лимит использования больше чем в claude?";2;0;0;2
"удобный редактор для glm-5";2;0;0;2
"chatgpt codex limits";6;2;33.33;2.5
"glm code в kilo code";2;1;50;2.5
